ID,Label,Count
Deathmatch Classic,Deathmatch Classic,1433
Ricochet,Ricochet,1433
Borderlands GOTY,Borderlands GOTY,1432
Borderlands GOTY Enhanced,Borderlands GOTY Enhanced,1432
Hitman: Absolution,Hitman: Absolution,1427
Metro: Last Light Redux,Metro: Last Light Redux,1424
Doki Doki Literature Club,Doki Doki Literature Club,1422
Cyberpunk 2077,Cyberpunk 2077,1418
Creativerse,Creativerse,1412
Mirror's Edge,Mirror's Edge,1409
World of Warships,World of Warships,1407
Fallout: New Vegas,Fallout: New Vegas,1392
Day of Defeat: Source,Day of Defeat: Source,1388
Metro 2033 Redux,Metro 2033 Redux,1385
Goat Simulator,Goat Simulator,1384
BattleBlock Theater,BattleBlock Theater,1381
"Warhammer 40,000: Space Marine","Warhammer 40,000: Space Marine",1363
Batman: Arkham City GOTY,Batman: Arkham City GOTY,1360
Dungeon Defenders II,Dungeon Defenders II,1356
Argo,Argo,1350
Hotline Miami,Hotline Miami,1344
Sins of a Solar Empire: Rebellion,Sins of a Solar Empire: Rebellion,1326
Darwin Project,Darwin Project,1321
Monster Hunter: World,Monster Hunter: World,1320
DiRT Showdown,DiRT Showdown,1315
Sid Meier's Civilization III: Complete,Sid Meier's Civilization III: Complete,1314
The Binding of Isaac,The Binding of Isaac,1313
Serious Sam Fusion 2017 (beta),Serious Sam Fusion 2017 (beta),1310
Pixel Puzzles Ultimate,Pixel Puzzles Ultimate,1309
Starbound,Starbound,1295
Starbound - Unstable,Starbound - Unstable,1295
Dishonored,Dishonored,1294
Tabletop Simulator,Tabletop Simulator,1290
Raft,Raft,1288
ORION: Prelude,ORION: Prelude,1288
Call of Duty: Black Ops II - Zombies,Call of Duty: Black Ops II - Zombies,1279
TrackMania Nations Forever,TrackMania Nations Forever,1279
Call of Duty: Black Ops II,Call of Duty: Black Ops II,1278
Call of Duty: Black Ops II - Multiplayer,Call of Duty: Black Ops II - Multiplayer,1278
The Uncertain: Last Quiet Day,The Uncertain: Last Quiet Day,1269
LEGO® The Lord of the Rings™,LEGO® The Lord of the Rings™,1266
Enclave,Enclave,1255
Realm of the Mad God Exalt,Realm of the Mad God Exalt,1252
Headsnatchers,Headsnatchers,1249
KHOLAT,KHOLAT,1246
Half-Life: Source,Half-Life: Source,1241
LEGO® The Hobbit™,LEGO® The Hobbit™,1240
Warhammer: Vermintide 2 Closed Test,Warhammer: Vermintide 2 Closed Test,1232
Dead Island,Dead Island,1230
GRID,GRID,1214
Mount & Blade: Warband,Mount & Blade: Warband,1200
SpeedRunners,SpeedRunners,1175
Warhammer: Vermintide 2,Warhammer: Vermintide 2,1175
Tom Clancy's Ghost Recon Phantoms - EU,Tom Clancy's Ghost Recon Phantoms - EU,1173
Guns of Icarus Alliance,Guns of Icarus Alliance,1170
PAYDAY 2: John Wick Weapon Pack,PAYDAY 2: John Wick Weapon Pack,1165
Sven Co-op,Sven Co-op,1163
This War of Mine,This War of Mine,1159
Prison Architect,Prison Architect,1158
Age of Empires II (2013),Age of Empires II (2013),1150
The Awesome Adventures of Captain Spirit,The Awesome Adventures of Captain Spirit,1131
Sleeping Dogs: Definitive Edition,Sleeping Dogs: Definitive Edition,1126
EVE Online,EVE Online,1125
Space Engineers,Space Engineers,1125
Block N Load,Block N Load,1122
Blender,Blender,1112
Serious Sam 3: BFE,Serious Sam 3: BFE,1108
Deiland,Deiland,1107
Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2,1102
Call of Duty: Modern Warfare 2 - Multiplayer,Call of Duty: Modern Warfare 2 - Multiplayer,1102
Transformice,Transformice,1097
Mafia II (Classic),Mafia II (Classic),1081
Mafia II: Definitive Edition,Mafia II: Definitive Edition,1081
Defiance,Defiance,1077
Plague Inc: Evolved,Plague Inc: Evolved,1076
Sid Meier's Civilization VI,Sid Meier's Civilization VI,1071
The Long Dark,The Long Dark,1069
Undertale,Undertale,1068
Geneshift,Geneshift,1067
BLOCKADE 3D,BLOCKADE 3D,1066
Far Cry 5,Far Cry 5,1064
Call of Duty: Black Ops III,Call of Duty: Black Ops III,1063
Spiral Knights,Spiral Knights,1060
Hitman: Sniper Challenge,Hitman: Sniper Challenge,1057
The Lab,The Lab,1057
S.K.I.L.L. - Special Force 2,S.K.I.L.L. - Special Force 2,1055
World of Guns: Gun Disassembly,World of Guns: Gun Disassembly,1048
Sniper Elite 3,Sniper Elite 3,1047
Just Survive,Just Survive,1040
Just Survive Test Server,Just Survive Test Server,1040
The Expendabros,The Expendabros,1039
No Man's Sky,No Man's Sky,1035
UNO,UNO,1026
SNOW,SNOW,1024
Arma 2: DayZ Mod,Arma 2: DayZ Mod,1024
Sniper Ghost Warrior 2,Sniper Ghost Warrior 2,1004
Mortal Kombat X,Mortal Kombat X,1002
Layers of Fear - Soundtrack,Layers of Fear - Soundtrack,1001
Friday the 13th: The Game,Friday the 13th: The Game,997
RISK: Global Domination,RISK: Global Domination,995
The Elder Scrolls Online,The Elder Scrolls Online,988
Codename CURE,Codename CURE,986
"Star Wars: Battlefront 2 (Classic, 2005)","Star Wars: Battlefront 2 (Classic, 2005)",978
DCS World Steam Edition,DCS World Steam Edition,978
Bloons TD 6,Bloons TD 6,977
Blackwake,Blackwake,976
Call of Duty: Black Ops III – Mod Tools,Call of Duty: Black Ops III – Mod Tools,974
Battlefield: Bad Company™ 2,Battlefield: Bad Company™ 2,974
Pixel Puzzles Traditional Jigsaws,Pixel Puzzles Traditional Jigsaws,969
Pummel Party,Pummel Party,969
Magicka: Wizard Wars,Magicka: Wizard Wars,959
Kao the Kangaroo: Round 2,Kao the Kangaroo: Round 2,958
F1 2018,F1 2018,958
American Truck Simulator,American Truck Simulator,945
Hotline Miami 2: Wrong Number,Hotline Miami 2: Wrong Number,939
Sea of Thieves,Sea of Thieves,934
Marvel Heroes Omega,Marvel Heroes Omega,930
Risk of Rain 2,Risk of Rain 2,929
Yu-Gi-Oh! Duel Links,Yu-Gi-Oh! Duel Links,927
America's Army: Proving Grounds,America's Army: Proving Grounds,921
ESEA,ESEA,918
Alien Swarm: Reactive Drop,Alien Swarm: Reactive Drop,912
We Were Here,We Were Here,912
Geometry Dash,Geometry Dash,910
Halo: The Master Chief Collection,Halo: The Master Chief Collection,906
Skyrim Script Extender (SKSE),Skyrim Script Extender (SKSE),904
Grimm,Grimm,904
Quiplash,Quiplash,903
WARMODE,WARMODE,902
Sniper Elite 4,Sniper Elite 4,901
Toribash,Toribash,898
10 Second Ninja X,10 Second Ninja X,896
Hearts of Iron IV,Hearts of Iron IV,894
Black Desert,Black Desert,888
Gotham City Impostors: Free To Play,Gotham City Impostors: Free To Play,887
Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3,883
Call of Duty: Modern Warfare 3 - Multiplayer,Call of Duty: Modern Warfare 3 - Multiplayer,883
The Binding of Isaac: Rebirth,The Binding of Isaac: Rebirth,881
CS:GO Player Profiles: Edward - Na'Vi,CS:GO Player Profiles: Edward - Na'Vi,877
CS:GO Player Profiles: kennyS - Team Envyus,CS:GO Player Profiles: kennyS - Team Envyus,876
CS:GO Player Profiles: pashaBiceps - Virtus.Pro,CS:GO Player Profiles: pashaBiceps - Virtus.Pro,876
CS:GO Player Profiles: olofmeister - fnatic,CS:GO Player Profiles: olofmeister - fnatic,875
CS:GO Player Profiles: markeloff - Flipsid3,CS:GO Player Profiles: markeloff - Flipsid3,875
CS:GO Player Profiles: Guardian - Na'Vi,CS:GO Player Profiles: Guardian - Na'Vi,875
CS:GO Player Profiles: Maikelele - FaZe,CS:GO Player Profiles: Maikelele - FaZe,875
CS:GO Player Profiles: Fer - SK Gaming,CS:GO Player Profiles: Fer - SK Gaming,875
CS:GO Player Profiles: Tarik - Counter Logic Gaming,CS:GO Player Profiles: Tarik - Counter Logic Gaming,875
CS:GO Player Profiles,CS:GO Player Profiles,874
CS:GO Player Profiles: n0thing - Cloud9,CS:GO Player Profiles: n0thing - Cloud9,874
CS:GO Player Profiles:  TaZ - Virtus.Pro,CS:GO Player Profiles:  TaZ - Virtus.Pro,874
CS:GO Player Profiles: GeT_RiGhT - Ninjas in Pyjamas,CS:GO Player Profiles: GeT_RiGhT - Ninjas in Pyjamas,874
CS:GO Player Profiles: device - Team SoloMid,CS:GO Player Profiles: device - Team SoloMid,874
CS:GO Player Profiles: FalleN - Luminosity,CS:GO Player Profiles: FalleN - Luminosity,874
CS:GO Player Profiles: karrigan - Astralis,CS:GO Player Profiles: karrigan - Astralis,874
CS:GO Player Profiles: Happy - Team EnVyUs,CS:GO Player Profiles: Happy - Team EnVyUs,874
CS:GO Player Profiles: fnx - Luminosity,CS:GO Player Profiles: fnx - Luminosity,874
CS:GO Player Profiles: Friberg - Ninjas in Pyjamas,CS:GO Player Profiles: Friberg - Ninjas in Pyjamas,874
CS:GO Player Profiles: Dupreeh - Astralis,CS:GO Player Profiles: Dupreeh - Astralis,874
CS:GO Player Profiles: Hiko - Team Liquid,CS:GO Player Profiles: Hiko - Team Liquid,874
CS:GO Player Profiles: Counter-Strike: A Brief History,CS:GO Player Profiles: Counter-Strike: A Brief History,874
CS:GO Player Profiles: Zeus - Gambit,CS:GO Player Profiles: Zeus - Gambit,874
CS:GO Player Profiles: coldzera – SK Gaming,CS:GO Player Profiles: coldzera – SK Gaming,874
CS:GO Player Profiles: s1mple – Natus Vincere,CS:GO Player Profiles: s1mple – Natus Vincere,874
Blacklight: Retribution,Blacklight: Retribution,874
Tom Clancy's The Division,Tom Clancy's The Division,865
Tom Clancy's The Division PTS,Tom Clancy's The Division PTS,865
Subnautica,Subnautica,864
Albion Online,Albion Online,858
Squad,Squad,858
Squad - Public Testing,Squad - Public Testing,858
Bloons TD Battles,Bloons TD Battles,856
KurtzPel,KurtzPel,823
Double Action: Boogaloo,Double Action: Boogaloo,822
Tactical Intervention,Tactical Intervention,806
FreeStyle 2: Street Basketball,FreeStyle 2: Street Basketball,803
Outlast 2,Outlast 2,803
Emily is Away,Emily is Away,803
Call of Duty: Black Ops,Call of Duty: Black Ops,801
Call of Duty: Black Ops - Multiplayer,Call of Duty: Black Ops - Multiplayer,801
Quake Live,Quake Live,790
theHunter: Call of the Wild™,theHunter: Call of the Wild™,788
Assetto Corsa,Assetto Corsa,786
Two Worlds: Epic Edition,Two Worlds: Epic Edition,773
